Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
70,'258,French Polynesia,7020,Meteorological year,6078,Standard Deviation,°c,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.271
83,'296,Kiribati,7001,January,7271,Temperature change,°c,0.37,-0.167,-0.327,-0.151,-0.102,-0.649,-0.068,0.149,0.168,0.336,-0.505,-0.428,-0.033,-0.472,-0.019,-0.229,-0.29,0.329,0.021,0.43,0.51,0.63,0.412,0.309,0.16,0.687,0.066,0.486,-0.34,-0.067,0.081,0.147,-0.111,0.392,0.481,0.498,,0.699,-0.689,0.021,0.221,-0.009,-0.149,1.181,,0.441,0.431,-0.189,0.541,0.381,-0.049,,,0.451,0.961,1.121,1.201,0.771,1.091,1.491,,
83,'296,Kiribati,7001,January,6078,Standard Deviation,°c,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,,0.326,0.326,0.326,0.326,0.326,0.326,0.326,,0.326,0.326,0.326,0.326,0.326,0.326,,,0.326,0.326,0.326,0.326,0.326,0.326,0.326,,
83,'296,Kiribati,7002,February,7271,Temperature change,°c,0.319,-0.216,-0.162,-0.048,-0.372,-0.336,-0.352,-0.009,0.283,0.476,-0.484,0.275,0.229,-0.216,0.036,-0.138,0.039,0.259,-0.224,0.426,0.38,0.413,0.327,-0.182,0.227,0.301,-0.121,0.371,-0.552,0.454,0.844,0.195,-0.171,0.117,0.436,-0.054,0.396,0.888,-0.434,-0.294,0.076,,0.426,,,,-0.104,-0.584,0.136,0.946,-0.084,0.046,0.406,1.096,0.916,0.916,0.896,0.596,1.456,1.166,,
83,'296,Kiribati,7002,February,6078,Standard Deviation,°c,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,,0.281,,,,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,,
83,'296,Kiribati,7003,March,7271,Temperature change,°c,-0.182,-0.386,-0.234,0.119,-0.301,-0.04,0.017,0.148,0.227,0.281,-0.242,-0.092,0.54,-0.037,-0.398,-0.115,-0.013,0.056,-0.266,-0.151,0.04,0.764,0.463,-0.058,-0.075,0.546,0.163,0.338,-0.302,0.229,0.137,0.246,-0.348,0.199,0.662,0.291,,1.142,-0.578,-0.318,0.322,0.492,0.382,,,,0.502,,0.472,0.572,0.592,0.362,0.772,0.542,1.242,0.812,0.892,0.962,0.022,1.332,,
83,'296,Kiribati,7003,March,6078,Standard Deviation,°c,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,,0.229,0.229,0.229,0.229,0.229,0.229,,,,0.229,,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,,
83,'296,Kiribati,7004,April,7271,Temperature change,°c,0.049,-0.392,-0.129,0.255,-0.573,-0.026,0.079,-0.087,0.506,-0.087,-0.528,-0.166,0.383,0.013,-0.28,-0.431,-0.039,0.173,0.156,0.175,-0.168,0.289,0.269,-0.422,-0.044,0.232,-0.117,0.19,-0.248,-0.145,0.792,-0.392,-0.391,0.209,0.673,-0.044,0.573,0.838,-0.322,-0.052,0.298,0.818,1.038,0.458,,0.148,0.718,,0.898,,0.358,0.438,0.148,-0.082,0.738,0.938,1.308,1.018,0.128,1.588,,
83,'296,Kiribati,7004,April,6078,Standard Deviation,°c,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,,0.275,0.275,,0.275,,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,,
83,'296,Kiribati,7005,May,7271,Temperature change,°c,-0.301,-0.184,0.098,-0.111,0.039,0.043,0.298,-0.182,0.469,0.124,-0.484,-0.118,0.245,-0.14,-0.217,-0.207,-0.112,0.357,-0.024,0.014,0.066,0.382,-0.426,-0.562,-0.091,0.287,-0.131,-0.341,-0.527,0.191,0.469,-0.172,-0.656,0.222,0.36,-0.07,,,-0.58,-0.32,0.15,0.76,0.75,0.57,,0.44,0.2,-0.37,0.57,,0.49,0.45,0.49,0.73,0.79,1.07,0.98,0.89,0.76,1.16,,
83,'296,Kiribati,7005,May,6078,Standard Deviation,°c,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,,,0.224,0.224,0.224,0.224,0.224,0.224,,0.224,0.224,0.224,0.224,,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,,
